"id","title","sort_title","song_form_id","description","contrafact_id","created_at","updated_at"
36,"Someday We'll Meet Again","SOMEDAY WELL MEET AGAIN",6,,,,
38,"It's Within Your Power","ITS WITHIN YOUR POWER",6,,,,
39,"I'm Playing With Fire","IM PLAYING WITH FIRE",6,,,,
40,"Try A Little Tenderness","TRY A LITTLE TENDERNESS",6,,,,
41,"You're Getting To Be A Habit With Me","YOURE GETTING TO BE A HABIT WITH ME",6,,,,
42,"Young And Healthy","YOUNG AND HEALTHY",6,,,,
43,"You're Beautiful Tonight, My Dear","YOURE BEAUTIFUL TONIGHT MY DEAR",6,,,,
44,"I've Got The World On A String","IVE GOT THE WORLD ON A STRING",6,,,,
45,"My Honey's Loving Arms","MY HONEYS LOVING ARMS",6,,,,
46,"What Do I Care, It's Home","WHAT DO I CARE ITS HOME",6,,,,
47,"You've Got Me Crying Again","YOUVE GOT ME CRYING AGAIN",6,,,,
48,"Someone Stole Gabriel's Horn","SOMEONE STOLE GABRIELS HORN",6,,,,
49,"Stay On The Right Side Of The Road","STAY ON THE RIGHT SIDE OF THE ROAD",6,,,,
50,"Here Is My Heart","HERE IS MY HEART",6,,,,
51,"Learn To Croon","LEARN TO CROON",6,,,,
52,"My Love","MY LOVE",6,,,,
53,"I've Got To Pass Your House To Get To My House","IVE GOT TO PASS YOUR HOUSE TO GET TO MY HOUSE",6,,,,
54,"Blue Prelude","BLUE PRELUDE",6,,,,
55,"I Would If I Could, But I Can't","I WOULD IF I COULD BUT I CANT",6,,,,
56,"Shadow Waltz","SHADOW WALTZ",6,,,,
57,"I've Got To Sing A Torch Song","IVE GOT TO SING A TORCH SONG",6,,,,
58,"There's A Cabin In The Pines","THERES A CABIN IN THE PINES",6,,,,
59,"The Last Round Up","LAST ROUND UP",6,,,,
60,"Home On The Range","HOME ON THE RANGE",6,,,,
61,"Let's Spend An Evening At Home","LETS SPEND AN EVENING AT HOME",6,,,,
62,"May I?","MAY I",6,,,,
63,"Little Dutch Mill","LITTLE DUTCH MILL",6,,,,
64,"Shadows Of Love","SHADOWS OF LOVE",6,,,,
65,"Ridin' Around In The Rain","RIDIN AROUND IN THE RAIN",6,,,,
66,"Give Me A Heart To Sing To","GIVE ME A HEART TO SING TO",6,,,,
67,"The Boulevard Of Broken Dreams","BOULEVARD OF BROKEN DREAMS",6,,,,
68,"Because Of You","BECAUSE OF YOU",6,,,,
69,"Cold, Cold Heart","COLD COLD HEART",6,,,,
70,"Blue Velvet","BLUE VELVET",6,,,,
71,"Rags To Riches","RAGS TO RICHES",6,,,,
72,"Stranger In Paradise","STRANGER IN PARADISE",6,,,,
73,"While The Music Plays On","WHILE THE MUSIC PLAYS ON",6,,,,
74,"May I Never Love Again","MAY I NEVER LOVE AGAIN",6,,,,
75,"Sing You Sinners","SING YOU SINNERS",6,,,,
76,"Just In Time","JUST IN TIME",6,,,,
77,"Lazy Afternoon","LAZY AFTERNOON",6,,,,
78,"Ça, C'est L'Amour","ÇA CEST LAMOUR",6,,,,
79,"I Get A Kick Out Of You","I GET A KICK OUT OF YOU",6,,,,
80,"It Amazes Me","IT AMAZES ME",6,,,,
81,"Penthouse Serenade","PENTHOUSE SERENADE",6,,,,
82,"Lost In The Stars","LOST IN THE STARS",6,,,,
83,"Lullaby Of Broadway","LULLABY OF BROADWAY",6,,,,
84,"Firefly","FIREFLY",6,,,,
85,"A Sleepin' Bee","SLEEPIN BEE",6,,,,
86,"The Man That Got Away","MAN THAT GOT AWAY",6,,,,
87,"Skylark","SKYLARK",6,,,,
88,"September Song","SEPTEMBER SONG",6,,,,
89,"Till","TILL",6,,,,
90,"Begin The Beguine","BEGIN THE BEGUINE",6,,,,
91,"Put On A Happy Face","PUT ON A HAPPY FACE",6,,,,
92,"The Best Is Yet To Come","BEST IS YET TO COME",6,,,,
93,"This Time The Dream's On Me","THIS TIME THE DREAMS ON ME",6,,,,
94,"Close Your Eyes","CLOSE YOUR EYES",6,,,,
95,"Toot, Toot, Tootsie! (Goodbye)","TOOT TOOT TOOTSIE GOODBYE",6,,,,
96,"Dancing In The Dark","DANCING IN THE DARK",6,,,,
97,"Stella By Starlight","STELLA BY STARLIGHT",6,,,,
98,"Tender Is The Night","TENDER IS THE NIGHT",6,,,,
99,"Once Upon A Time","ONCE UPON A TIME",6,,,,
100,"I Left My Heart In San Francisco","I LEFT MY HEART IN SAN FRANCISCO",6,,,,
101,"Until I Met You","UNTIL I MET YOU",6,,,,
102,"If I Love Again","IF I LOVE AGAIN",6,,,,
103,"I Wanna Be Around","I WANNA BE AROUND",6,,,,
104,"The Good Life [aka Marina]","GOOD LIFE AKA MARINA",6,,,,
105,"It Was Me","IT WAS ME",6,,,,
106,"Spring In Manhattan","SPRING IN MANHATTAN",6,,,,
107,"The Moment Of Truth","MOMENT OF TRUTH",6,,,,
108,"This Is All I Ask","THIS IS ALL I ASK",6,,,,
110,"A Taste Of Honey","TASTE OF HONEY",6,,,,
111,"When Joanna Loved Me","WHEN JOANNA LOVED ME",6,,,,
112,"I'll Be Around","ILL BE AROUND",6,,,,
113,"Nobody Else But Me","NOBODY ELSE BUT ME",6,,,,
114,"It Had To Be You","IT HAD TO BE YOU",6,,,,
115,"I've Got Just About Everything","IVE GOT JUST ABOUT EVERYTHING",6,,,,
116,"Who Can I Turn To","WHO CAN I TURN TO",6,,,,
117,"Waltz For Debby","WALTZ FOR DEBBY",6,,,,
118,"I Walk A Little Faster","I WALK A LITTLE FASTER",6,,,,
119,"Wrap Your Troubles In Dreams","WRAP YOUR TROUBLES IN DREAMS",6,,,,
120,"If I Ruled The World","IF I RULED THE WORLD",6,,,,
121,"Fly Me To The Moon (In Other Words)","FLY ME TO THE MOON IN OTHER WORDS",6,,,,
122,"Love Scene","LOVE SCENE",6,,,,
123,"Sweet Lorraine","SWEET LORRAINE",6,,,,
124,"The Shadow Of Your Smile","SHADOW OF YOUR SMILE",6,,,,
125,"I'll Only Miss Her When I Think Of Her","ILL ONLY MISS HER WHEN I THINK OF HER",6,,,,
126,"Baby, Dream Your Dream","BABY DREAM YOUR DREAM",6,,,,
127,"Smile","SMILE",6,,,,
128,"Maybe September","MAYBE SEPTEMBER",6,,,,
129,"Emily","EMILY",6,,,,
130,"The Very Thought Of You","VERY THOUGHT OF YOU",6,,,,
131,"A Time For Love","TIME FOR LOVE",6,,,,
132,"Country Girl","COUNTRY GIRL",6,,,,
133,"Days Of Love","DAYS OF LOVE",6,,,,
134,"Keep Smiling At Trouble","KEEP SMILING AT TROUBLE",6,,,,
135,"For Once In My Life","FOR ONCE IN MY LIFE",6,,,,
136,"Who Cares","WHO CARES",6,,,,
137,"Hi-Ho","HI-HO",6,,,,
138,"Baby Don't You Quit Now","BABY DONT YOU QUIT NOW",6,,,,
139,"Something","SOMETHING",6,,,,
140,"I Do Not Know A Day I Did Not Love You","I DO NOT KNOW A DAY I DID NOT LOVE YOU",6,,,,
141,"Old Devil Moon","OLD DEVIL MOON",6,,,,
142,"Remind Me","REMIND ME",6,,,,
143,"Maybe This Time","MAYBE THIS TIME",6,,,,
144,"Some Other Time","SOME OTHER TIME",6,,,,
145,"My Foolish Heart","MY FOOLISH HEART",6,,,,
146,"But Beautiful","BUT BEAUTIFUL",6,,,,
147,"How Do You Keep The Music Playing","HOW DO YOU KEEP THE MUSIC PLAYING",6,,,,
148,"What Are You Afraid Of","WHAT ARE YOU AFRAID OF",6,,,,
149,"Why Do People Fall In Love","WHY DO PEOPLE FALL IN LOVE",6,,,,
151,"People","PEOPLE",6,,,,
152,"I Got Lost In Her Arms","I GOT LOST IN HER ARMS",6,,,,
153,"When I Lost You","WHEN I LOST YOU",6,,,,
154,"Shakin' The Blues Away","SHAKIN THE BLUES AWAY",6,,,,
155,"Antonia","ANTONIA",6,,,,
156,"When Do The Bells Ring For Me","WHEN DO THE BELLS RING FOR ME",6,,,,
157,"They Say It's Wonderful","THEY SAY ITS WONDERFUL",6,,,,
158,"Isn't This A Lovely Day","ISNT THIS A LOVELY DAY",6,,,,
159,"All Of My Life","ALL OF MY LIFE",6,,,,
160,"Now It Can Be Told","NOW IT CAN BE TOLD",6,,,,
161,"The Song Is Ended","SONG IS ENDED",6,,,,
162,"Cheek To Cheek","CHEEK TO CHEEK",6,,,,
163,"Let Yourself Go","LET YOURSELF GO",6,,,,
164,"Let's Face The Music And Dance","LETS FACE THE MUSIC AND DANCE",6,,,,
165,"Russian Lullaby","RUSSIAN LULLABY",6,,,,
166,"White Christmas","WHITE CHRISTMAS",6,,,,
167,"I Hadn't Anyone Till You","I HADNT ANYONE TILL YOU",6,,,,
168,"Night And Day","NIGHT AND DAY",6,,,,
169,"Misty","MISTY",6,,,,
170,"Star Dust","STAR DUST",6,,,,
171,"Come Rain Or Come Shine","COME RAIN OR COME SHINE",6,,,,
172,"It Might As Well Be Spring","IT MIGHT AS WELL BE SPRING",6,,,,
173,"Prisoner Of Love","PRISONER OF LOVE",6,,,,
174,"That's All","THATS ALL",6,,,,
175,"All Or Nothing At All","ALL OR NOTHING AT ALL",6,,,,
176,"Yesterdays","YESTERDAYS",6,,,,
177,"As You Desire Me","AS YOU DESIRE ME",6,,,,
178,"Don't Take Your Love From Me","DONT TAKE YOUR LOVE FROM ME",6,,,,
179,"Falling In Love With Love","FALLING IN LOVE WITH LOVE",6,,,,
180,"The Curse Of An Aching Heart","CURSE OF AN ACHING HEART",6,,,,
182,"Don't Cry Joe","DONT CRY JOE",6,,,,
183,"Please Don't Talk About Me When I'm Gone","PLEASE DONT TALK ABOUT ME WHEN IM GONE",6,,,,
184,"Love Walked In","LOVE WALKED IN",6,,,,
185,"Granada","GRANADA",6,,,,
186,"I Never Knew","I NEVER KNEW",6,,,,
187,"Don't Be That Way","DONT BE THAT WAY",6,,,,
188,"Moonlight On The Ganges","MOONLIGHT ON THE GANGES",6,,,,
189,"It's A Wonderful World","ITS A WONDERFUL WORLD",6,,,,
190,"Have You Met Miss Jones?","HAVE YOU MET MISS JONES",6,,,,
191,"You're Nobody 'Til Somebody Loves You","YOURE NOBODY TIL SOMEBODY LOVES YOU",6,,,,
193,"You Will Be My Music","YOU WILL BE MY MUSIC",6,,,,
194,"You're So Right (For What's Wrong In My Life)","YOURE SO RIGHT FOR WHATS WRONG IN MY LIFE",6,,,,
195,"Winners","WINNERS",6,,,,
196,"Nobody Wins","NOBODY WINS",6,,,,
197,"Send In The Clowns","SEND IN THE CLOWNS",6,,,,
198,"Dream Away","DREAM AWAY",6,,,,
199,"Let Me Try Again","LET ME TRY AGAIN",6,,,,
200,"There Used To Be A Ballpark","THERE USED TO BE A BALLPARK",6,,,,
201,"Noah","NOAH",6,,,,
202,"Nice 'n' Easy","NICE N EASY",6,,,,
203,"That Old Feeling","THAT OLD FEELING",6,,,,
204,"How Deep Is The Ocean","HOW DEEP IS THE OCEAN",6,,,,
205,"I've Got A Crush On You","IVE GOT A CRUSH ON YOU",6,,,,
206,"You Go To My Head","YOU GO TO MY HEAD",6,,,,
207,"Fools Rush In","FOOLS RUSH IN",6,,,,
208,"Nevertheless","NEVERTHELESS",6,,,,
209,"She's Funny That Way","SHES FUNNY THAT WAY",6,,,,
210,"Embraceable You","EMBRACEABLE YOU",6,,,,
211,"Mam'selle","MAMSELLE",6,,,,
212,"Dream","DREAM",6,,,,
213,"The Nearness Of You","NEARNESS OF YOU",6,,,,
214,"Someone To Watch Over Me","SOMEONE TO WATCH OVER ME",6,,,,
215,"Day In, Day Out","DAY IN DAY OUT",6,,,,
216,"My One And Only Love","MY ONE AND ONLY LOVE",6,,,,
217,"You Make Me Feel So Young","YOU MAKE ME FEEL SO YOUNG",6,,,,
218,"It Happened In Monterey","IT HAPPENED IN MONTEREY",6,,,,
219,"You Brought A New Kind Of Love To Me","YOU BROUGHT A NEW KIND OF LOVE TO ME",6,,,,
220,"Too Marvelous For Words","TOO MARVELOUS FOR WORDS",6,,,,
221,"Pennies From Heaven","PENNIES FROM HEAVEN",6,,,,
222,"Love Is Here To Stay","LOVE IS HERE TO STAY",6,,,,
223,"I've Got You Under My Skin","IVE GOT YOU UNDER MY SKIN",6,,,,
224,"I Thought About You","I THOUGHT ABOUT YOU",6,,,,
225,"We'll Be Together Again","WELL BE TOGETHER AGAIN",6,,,,
226,"Makin' Whoopee","MAKIN WHOOPEE",6,,,,
227,"Anything Goes","ANYTHING GOES",6,,,,
228,"Swingin' Down The Lane","SWINGIN DOWN THE LANE",6,,,,
229,"How About You?","HOW ABOUT YOU",6,,,,
230,"Come Fly With Me","COME FLY WITH ME",6,,,,
231,"One For My Baby","ONE FOR MY BABY",6,,,,
232,"One O'Clock Jump","ONE OCLOCK JUMP",6,,,,
233,"All Of Me","ALL OF ME",6,,,,
234,"September Of My Years","SEPTEMBER OF MY YEARS",6,,,,
235,"Get Me To The Church On Time","GET ME TO THE CHURCH ON TIME",6,,,,
236,"It Was A Very Good Year","IT WAS A VERY GOOD YEAR",6,,,,
237,"Don't Worry 'Bout Me","DONT WORRY BOUT ME",6,,,,
238,"Where Or When","WHERE OR WHEN",6,,,,
239,"Angel Eyes","ANGEL EYES",6,,,,
240,"My Kind Of Town","MY KIND OF TOWN",6,,,,
241,"Between The Devil And The Deep Blue Sea","BETWEEN THE DEVIL AND THE DEEP BLUE SEA",6,,,,
242,"I Could Have Danced All Night","I COULD HAVE DANCED ALL NIGHT",6,,,,
243,"Just One Of Those Things","JUST ONE OF THOSE THINGS",6,,,,
244,"At Long Last Love","AT LONG LAST LOVE",6,,,,
245,"Willow Weep For Me","WILLOW WEEP FOR ME",6,,,,
246,"Moonlight In Vermont","MOONLIGHT IN VERMONT",6,,,,
247,"The Lady Is A Tramp","LADY IS A TRAMP",6,,,,
248,"All The Way","ALL THE WAY",6,,,,
249,"On The Road To Mandalay","ON THE ROAD TO MANDALAY",6,,,,
250,"The Girl From Ipanema","GIRL FROM IPANEMA",6,,,,
251,"Dindi","DINDI",6,,,,
252,"Change Partners","CHANGE PARTNERS",6,,,,
254,"Meditation [aka Meditaçao]","MEDITATION AKA MEDITAÇAO",6,,,,
255,"If You Never Come To Me","IF YOU NEVER COME TO ME",6,,,,
256,"How Insensitive [aka Insensatez]","HOW INSENSITIVE AKA INSENSATEZ",6,,,,
257,"I Concentrate On You","I CONCENTRATE ON YOU",6,,,,
258,"Baubles, Bangles And Beads","BAUBLES BANGLES AND BEADS",6,,,,
259,"Once I Loved (O Amor Em Paz)","ONCE I LOVED O AMOR EM PAZ",6,,,,
260,"When The World Was Young","WHEN THE WORLD WAS YOUNG",6,,,,
261,"I'll Remember April","ILL REMEMBER APRIL",6,,,,
262,"A Million Dreams Ago","MILLION DREAMS AGO",6,,,,
263,"I'll See You Again","ILL SEE YOU AGAIN",6,,,,
264,"There Will Never Be Another You","THERE WILL NEVER BE ANOTHER YOU",6,,,,
265,"Somewhere Along The Way","SOMEWHERE ALONG THE WAY",6,,,,
266,"It's A Blue World","ITS A BLUE WORLD",6,,,,
267,"These Foolish Things","THESE FOOLISH THINGS",6,,,,
268,"As Time Goes By","AS TIME GOES BY",6,,,,
269,"I'll Be Seeing You","ILL BE SEEING YOU",6,,,,
270,"Memories Of You","MEMORIES OF YOU",6,,,,
271,"Don't Make A Beggar Of Me","DONT MAKE A BEGGAR OF ME",6,,,,
272,"Lean Baby","LEAN BABY",6,,,,
273,"I'm Walking Behind You","IM WALKING BEHIND YOU",6,,,,
274,"A Man Alone","MAN ALONE",6,,,,
275,"Night","NIGHT",6,,,,
276,"I've Been To Town","IVE BEEN TO TOWN",6,,,,
277,"From Promise To Promise","FROM PROMISE TO PROMISE",6,,,,
278,"The Single Man","SINGLE MAN",6,,,,
279,"The Beautiful Strangers","BEAUTIFUL STRANGERS",6,,,,
280,"Lonesome Cities","LONESOME CITIES",6,,,,
281,"Love's Been Good To Me","LOVES BEEN GOOD TO ME",6,,,,
282,"Empty Is","EMPTY IS",6,,,,
283,"Out Beyond The Window","OUT BEYOND THE WINDOW",6,,,,
284,"Some Traveling Music","SOME TRAVELING MUSIC",6,,,,
285,"Why Shouldn't I?","WHY SHOULDNT I",6,,,,
286,"Two Hearts Are Better Than One","TWO HEARTS ARE BETTER THAN ONE",6,,,,
287,"The Girl That I Marry","GIRL THAT I MARRY",6,,,,
288,"Could 'Ja","COULD JA",6,,,,
289,"The Things We Did Last Summer","THINGS WE DID LAST SUMMER",6,,,,
290,"So Far","SO FAR",6,,,,
291,"It Only Happens When I Dance With You","IT ONLY HAPPENS WHEN I DANCE WITH YOU",6,,,,
292,"When Is Sometime?","WHEN IS SOMETIME",6,,,,
293,"Where Is The One","WHERE IS THE ONE",6,,,,
294,"Nature Boy","NATURE BOY",6,,,,
295,"Bop! Goes My Heart","BOP GOES MY HEART",6,,,,
296,"It Happens Every Spring","IT HAPPENS EVERY SPRING",6,,,,
297,"Accidents Will Happen","ACCIDENTS WILL HAPPEN",6,,,,
298,"London By Night","LONDON BY NIGHT",6,,,,
299,"Bim Bam Baby","BIM BAM BABY",6,,,,
300,"My Funny Valentine","MY FUNNY VALENTINE",6,,,,
301,"The Girl Next Door [see The Boy Next Door]","GIRL NEXT DOOR SEE THE BOY NEXT DOOR",6,,,,
302,"A Foggy Day","FOGGY DAY",6,,,,
303,"Like Someone In Love","LIKE SOMEONE IN LOVE",6,,,,
304,"Little Girl Blue","LITTLE GIRL BLUE",6,,,,
305,"They Can't Take That Away From Me","THEY CANT TAKE THAT AWAY FROM ME",6,,,,
306,"Violets For Your Furs","VIOLETS FOR YOUR FURS",6,,,,
307,"I'm Gonna Sit Right Down And Write Myself A Letter","IM GONNA SIT RIGHT DOWN AND WRITE MYSELF A LETTER",6,,,,
308,"Sunday","SUNDAY",6,,,,
309,"Taking A Chance On Love","TAKING A CHANCE ON LOVE",6,,,,
310,"Jeepers Creepers","JEEPERS CREEPERS",6,,,,
311,"Get Happy","GET HAPPY",6,,,,
312,"I Should Care","I SHOULD CARE",6,,,,
313,"I Guess I'll Have To Dream The Rest","I GUESS ILL HAVE TO DREAM THE REST",6,,,,
314,"It Never Entered My Mind","IT NEVER ENTERED MY MIND",6,,,,
316,"Body And Soul","BODY AND SOUL",6,,,,
317,"I Don't Stand A Ghost Of A Chance With You","I DONT STAND A GHOST OF A CHANCE WITH YOU",6,,,,
318,"There's No You","THERES NO YOU",6,,,,
319,"Guess I'll Hang My Tears Out To Dry","GUESS ILL HANG MY TEARS OUT TO DRY",6,,,,
320,"Why Try To Change Me Now","WHY TRY TO CHANGE ME NOW",6,,,,
321,"All Through The Day","ALL THROUGH THE DAY",6,,,,
322,"I Couldn't Sleep A Wink Last Night","I COULDNT SLEEP A WINK LAST NIGHT",6,,,,
323,"Time After Time","TIME AFTER TIME",6,,,,
324,"I Fall In Love Too Easily","I FALL IN LOVE TOO EASILY",6,,,,
325,"The Brooklyn Bridge","BROOKLYN BRIDGE",6,,,,
326,"When No One Cares","WHEN NO ONE CARES",6,,,,
327,"A Cottage For Sale","COTTAGE FOR SALE",6,,,,
328,"Stormy Weather","STORMY WEATHER",6,,,,
329,"Where Do You Go?","WHERE DO YOU GO",6,,,,
330,"Here's That Rainy Day","HERES THAT RAINY DAY",6,,,,
331,"I Can't Get Started","I CANT GET STARTED",6,,,,
332,"Just Friends","JUST FRIENDS",6,,,,
333,"None But The Lonely Heart","NONE BUT THE LONELY HEART",6,,,,
334,"The One I Love Belongs To Somebody Else","ONE I LOVE BELONGS TO SOMEBODY ELSE",6,,,,
335,"This Was My Love","THIS WAS MY LOVE",6,,,,
336,"I Could Have Told You","I COULD HAVE TOLD YOU",6,,,,
337,"You Forgot All The Words","YOU FORGOT ALL THE WORDS",6,,,,
338,"In The Wee Small Hours Of The Morning","IN THE WEE SMALL HOURS OF THE MORNING",6,,,,
339,"Mood Indigo","MOOD INDIGO",6,,,,
340,"Glad To Be Unhappy","GLAD TO BE UNHAPPY",6,,,,
341,"I Get Along Without You Very Well","I GET ALONG WITHOUT YOU VERY WELL",6,,,,
342,"Deep In A Dream","DEEP IN A DREAM",6,,,,
343,"I See Your Face Before Me","I SEE YOUR FACE BEFORE ME",6,,,,
344,"Can't We Be Friends?","CANT WE BE FRIENDS",6,,,,
345,"When Your Lover Has Gone","WHEN YOUR LOVER HAS GONE",6,,,,
346,"What Is This Thing Called Love","WHAT IS THIS THING CALLED LOVE",6,,,,
347,"Last Night When We Were Young","LAST NIGHT WHEN WE WERE YOUNG",6,,,,
348,"Ill Wind","ILL WIND",6,,,,
349,"Dancing On The Ceiling","DANCING ON THE CEILING",6,,,,
350,"I'll Never Be The Same","ILL NEVER BE THE SAME",6,,,,
351,"This Love Of Mine","THIS LOVE OF MINE",6,,,,
352,"Ring-A-Ding-Ding","RING-A-DING-DING",6,,,,
353,"Let's Fall In Love","LETS FALL IN LOVE",6,,,,
354,"Be Careful, It's My Heart","BE CAREFUL ITS MY HEART",6,,,,
355,"A Fine Romance","FINE ROMANCE",6,,,,
356,"In The Still Of The Night","IN THE STILL OF THE NIGHT",6,,,,
357,"The Coffee Song","COFFEE SONG",6,,,,
358,"When I Take My Sugar To Tea","WHEN I TAKE MY SUGAR TO TEA",6,,,,
360,"You And The Night And The Music","YOU AND THE NIGHT AND THE MUSIC",6,,,,
361,"I've Got My Love To Keep Me Warm","IVE GOT MY LOVE TO KEEP ME WARM",6,,,,
362,"Zing! Went The Strings Of My Heart","ZING WENT THE STRINGS OF MY HEART",6,,,,
363,"The Last Dance","LAST DANCE",6,,,,
364,"The Second Time Around","SECOND TIME AROUND",6,,,,
365,"Follow Me","FOLLOW ME",6,,,,
366,"Sunny","SUNNY",6,,,,
367,"All I Need Is The Girl","ALL I NEED IS THE GIRL",6,,,,
368,"Indian Summer","INDIAN SUMMER",6,,,,
369,"I Like The Sunrise","I LIKE THE SUNRISE",6,,,,
370,"Yellow Days","YELLOW DAYS",6,,,,
371,"Poor Butterfly","POOR BUTTERFLY",6,,,,
372,"Come Back To Me","COME BACK TO ME",6,,,,
373,"Day By Day","DAY BY DAY",6,,,,
374,"Sentimental Journey","SENTIMENTAL JOURNEY",6,,,,
375,"Almost Like Being In Love","ALMOST LIKE BEING IN LOVE",6,,,,
376,"Five Minutes More","FIVE MINUTES MORE",6,,,,
378,"American Beauty Rose","AMERICAN BEAUTY ROSE",6,,,,
379,"Yes Indeed","YES INDEED",6,,,,
380,"On The Sunny Side Of The Street","ON THE SUNNY SIDE OF THE STREET",6,,,,
381,"That Old Black Magic","THAT OLD BLACK MAGIC",6,,,,
382,"Lover","LOVER",6,,,,
383,"Paper Doll","PAPER DOLL",6,,,,
384,"I've Heard That Song Before","IVE HEARD THAT SONG BEFORE",6,,,,
385,"I Love You","I LOVE YOU",6,,,,
386,"Why Should I Cry Over You","WHY SHOULD I CRY OVER YOU",6,,,,
387,"Sultry Serenade [aka How Could You Do A Thing Like That To Me]","SULTRY SERENADE AKA HOW COULD YOU DO A THING LIKE THAT TO ME",6,,,,
388,"River Stay Away From My Door","RIVER STAY AWAY FROM MY DOOR",6,,,,
389,"I Gotta Right To Sing The Blues","I GOTTA RIGHT TO SING THE BLUES",6,,,,
390,"Around The World","AROUND THE WORLD",6,,,,
391,"Isle Of Capri","ISLE OF CAPRI",6,,,,
393,"Autumn In New York","AUTUMN IN NEW YORK",6,,,,
394,"Let's Get Away From It All","LETS GET AWAY FROM IT ALL",6,,,,
395,"April In Paris","APRIL IN PARIS",6,,,,
396,"Brazil [aka Aquarela Do Brasil]","BRAZIL AKA AQUARELA DO BRASIL",6,,,,
397,"Blue Hawaii","BLUE HAWAII",6,,,,
398,"It's Nice To Go Trav'ling","ITS NICE TO GO TRAVLING",6,,,,
399,"Chicago (That Toddling Town)","CHICAGO THAT TODDLING TOWN",6,,,,
400,"South Of The Border","SOUTH OF THE BORDER",6,,,,
401,"I Love Paris","I LOVE PARIS",6,,,,
403,"Close To You","CLOSE TO YOU",6,,,,
404,"P.S. I Love You","PS I LOVE YOU",6,,,,
405,"Love Locked Out","LOVE LOCKED OUT",6,,,,
406,"Everything Happens To Me","EVERYTHING HAPPENS TO ME",6,,,,
407,"It's Easy To Remember","ITS EASY TO REMEMBER",6,,,,
408,"Don't Like Goodbyes","DONT LIKE GOODBYES",6,,,,
409,"With Every Breath I Take","WITH EVERY BREATH I TAKE",6,,,,
410,"Blame It On My Youth","BLAME IT ON MY YOUTH",6,,,,
411,"It Could Happen To You","IT COULD HAPPEN TO YOU",6,,,,
412,"I've Had My Moments","IVE HAD MY MOMENTS",6,,,,
413,"The End Of A Love Affair","END OF A LOVE AFFAIR",6,,,,
414,"If It's The Last Thing I Do","IF ITS THE LAST THING I DO",6,,,,
415,"There's A Flaw In My Flue","THERES A FLAW IN MY FLUE",6,,,,
416,"Wait Till You See Her","WAIT TILL YOU SEE HER",6,,,,
417,"Strangers In The Night","STRANGERS IN THE NIGHT",6,,,,
418,"Summer Wind","SUMMER WIND",6,,,,
419,"Call Me","CALL ME",6,,,,
420,"You're Driving Me Crazy","YOURE DRIVING ME CRAZY",6,,,,
421,"On A Clear Day (You Can See Forever)","ON A CLEAR DAY YOU CAN SEE FOREVER",6,,,,
422,"My Baby Just Cares For Me","MY BABY JUST CARES FOR ME",6,,,,
423,"Downtown","DOWNTOWN",6,,,,
424,"Yes Sir, That's My Baby","YES SIR THATS MY BABY",6,,,,
